Taula de variables

Nombre			NV			Subprograma			Ocupació			Desplaçament			Tipus subjacent			Valor
t0			0			principal			4			0			ent			3

x			1			principal			4			4			ent			3

t2			2			principal			4			8			ent			24

y			3			principal			4			12			ent			24

t4			4			principal			4			16			bool			cert

b			5			principal			4			20			bool			cert

t6			6			principal			4			24			bool			fals

t8			8			principal			4			32			ent			50

t10			10			principal			4			40			ent			y

t12			12			principal			4			48			ent			99

z			14			principal			4			56			ent			

t15			15			principal			4			60			ent			z
